Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
identifier	title	subtitle	corporateauthor	personalauthor	typeofresource	genreloc	dateCreated	publisher	publicationplace	dateOther	language	physicalform	physicalextent	physicalnote	note	subjectgeographic	subjectgeographic	subjectgeographic	continent	country	province	region	county	city	citySection	area	coordinates
AirPhotos_Hamilton_1951-1952_A13118-174	[Parts of Brant, Waterloo, and Wentworth Counties, 5/14/1951] : [Flightline A13118-Photo 174]		National Air Photo Library (Canada)		cartographic	Aerial photographs	5/14/1951	[Publisher unknown]	[Place of publication unknown]	5/14/1951	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Brant County east of Brantford. Part of Waterloo County south of Kitchener, including Cambridge. Part of Wentworth County covering Puslinch, Carlisle, Killbride, Waterdown, Dundas Valley and the western half of the City of Hamilton. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Brant, Waterloo and Wentworth Counties] Operation VPH 252/51 Hamilton, May 14, 1951, September 9, 1951 and April 22, 1952.	Ontario, Southen			North America	Canada	Ontario		Brant, Waterloo, Wentworth	Hamilton, Brantford, Kitchener, Cambridge, Burlington	Flamborough, Dundas		latitude 43.423939 ; longitude -80.088444
AirPhotos_Hamilton_1951-1952_A13118-175	[Parts of Brant, Waterloo, and Wentworth Counties, 5/14/1951] : [Flightline A13118-Photo 175]		National Air Photo Library (Canada)		cartographic	Aerial photographs	5/14/1951	[Publisher unknown]	[Place of publication unknown]	5/14/1951	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Brant County east of Brantford. Part of Waterloo County south of Kitchener, including Cambridge. Part of Wentworth County covering Puslinch, Carlisle, Killbride, Waterdown, Dundas Valley and the western half of the City of Hamilton. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Brant, Waterloo and Wentworth Counties] Operation VPH 252/51 Hamilton, May 14, 1951, September 9, 1951 and April 22, 1952.	Ontario, Southen			North America	Canada	Ontario		Brant, Waterloo, Wentworth	Hamilton, Brantford, Kitchener, Cambridge, Burlington	Flamborough, Dundas		latitude 43.423627 ; longitude -79.974976
AirPhotos_Hamilton_1951-1952_A13118-176	[Parts of Brant, Waterloo, and Wentworth Counties, 5/14/1951] : [Flightline A13118-Photo 176]		National Air Photo Library (Canada)		cartographic	Aerial photographs	5/14/1951	[Publisher unknown]	[Place of publication unknown]	5/14/1951	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Brant County east of Brantford. Part of Waterloo County south of Kitchener, including Cambridge. Part of Wentworth County covering Puslinch, Carlisle, Killbride, Waterdown, Dundas Valley and the western half of the City of Hamilton. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Brant, Waterloo and Wentworth Counties] Operation VPH 252/51 Hamilton, May 14, 1951, September 9, 1951 and April 22, 1952.	Ontario, Southen			North America	Canada	Ontario		Brant, Waterloo, Wentworth	Hamilton, Brantford, Kitchener, Cambridge, Burlington	Flamborough, Dundas		latitude 43.425497 ; longitude -79.91807
AirPhotos_Hamilton_1951-1952_A13340-1	[Parts of Brant, Waterloo, and Wentworth Counties, 8/5/1951] : [Flightline A13340-Photo 1]		National Air Photo Library (Canada)		cartographic	Aerial photographs	8/5/1951	[Publisher unknown]	[Place of publication unknown]	8/5/1951	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Brant County east of Brantford. Part of Waterloo County south of Kitchener, including Cambridge. Part of Wentworth County covering Puslinch, Carlisle, Killbride, Waterdown, Dundas Valley and the western half of the City of Hamilton. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Brant, Waterloo and Wentworth Counties] Operation VPH 252/51 Hamilton, May 14, 1951, September 9, 1951 and April 22, 1952.	Ontario, Southen			North America	Canada	Ontario		Brant, Waterloo, Wentworth	Hamilton, Brantford, Kitchener, Cambridge, Burlington	Flamborough, Dundas		latitude 43.245797 ; longitude -79.813957
AirPhotos_Hamilton_1951-1952_A13340-2	[Parts of Brant, Waterloo, and Wentworth Counties, 8/5/1951] : [Flightline A13340-Photo 2]		National Air Photo Library (Canada)		cartographic	Aerial photographs	8/5/1951	[Publisher unknown]	[Place of publication unknown]	8/5/1951	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Brant County east of Brantford. Part of Waterloo County south of Kitchener, including Cambridge. Part of Wentworth County covering Puslinch, Carlisle, Killbride, Waterdown, Dundas Valley and the western half of the City of Hamilton. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Brant, Waterloo and Wentworth Counties] Operation VPH 252/51 Hamilton, May 14, 1951, September 9, 1951 and April 22, 1952.	Ontario, Southen			North America	Canada	Ontario		Brant, Waterloo, Wentworth	Hamilton, Brantford, Kitchener, Cambridge, Burlington	Flamborough, Dundas		latitude 43.24886 ; longitude -79.871335
AirPhotos_Hamilton_1951-1952_A13340-3	[Parts of Brant, Waterloo, and Wentworth Counties, 8/5/1951] : [Flightline A13340-Photo 3]		National Air Photo Library (Canada)		cartographic	Aerial photographs	8/5/1951	[Publisher unknown]	[Place of publication unknown]	8/5/1951	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Brant County east of Brantford. Part of Waterloo County south of Kitchener, including Cambridge. Part of Wentworth County covering Puslinch, Carlisle, Killbride, Waterdown, Dundas Valley and the western half of the City of Hamilton. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Brant, Waterloo and Wentworth Counties] Operation VPH 252/51 Hamilton, May 14, 1951, September 9, 1951 and April 22, 1952.	Ontario, Southen			North America	Canada	Ontario		Brant, Waterloo, Wentworth	Hamilton, Brantford, Kitchener, Cambridge, Burlington	Flamborough, Dundas		latitude 43.249579 ; longitude -79.921846
AirPhotos_Hamilton_1951-1952_A13340-4	[Parts of Brant, Waterloo, and Wentworth Counties, 8/5/1951] : [Flightline A13340-Photo 4]		National Air Photo Library (Canada)		cartographic	Aerial photographs	8/5/1951	[Publisher unknown]	[Place of publication unknown]	8/5/1951	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Brant County east of Brantford. Part of Waterloo County south of Kitchener, including Cambridge. Part of Wentworth County covering Puslinch, Carlisle, Killbride, Waterdown, Dundas Valley and the western half of the City of Hamilton. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Brant, Waterloo and Wentworth Counties] Operation VPH 252/51 Hamilton, May 14, 1951, September 9, 1951 and April 22, 1952.	Ontario, Southen			North America	Canada	Ontario		Brant, Waterloo, Wentworth	Hamilton, Brantford, Kitchener, Cambridge, Burlington	Flamborough, Dundas		latitude 43.247954 ; longitude -79.983473
AirPhotos_Hamilton_1951-1952_A13340-9	[Parts of Brant, Waterloo, and Wentworth Counties, 8/5/1951] : [Flightline A13340-Photo 9]		National Air Photo Library (Canada)		cartographic	Aerial photographs	8/5/1951	[Publisher unknown]	[Place of publication unknown]	8/5/1951	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Brant County east of Brantford. Part of Waterloo County south of Kitchener, including Cambridge. Part of Wentworth County covering Puslinch, Carlisle, Killbride, Waterdown, Dundas Valley and the western half of the City of Hamilton. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Brant, Waterloo and Wentworth Counties] Operation VPH 252/51 Hamilton, May 14, 1951, September 9, 1951 and April 22, 1952.	Ontario, Southen			North America	Canada	Ontario		Brant, Waterloo, Wentworth	Hamilton, Brantford, Kitchener, Cambridge, Burlington	Flamborough, Dundas		latitude 43.279955 ; longitude -80.185776
AirPhotos_Hamilton_1951-1952_A13340-10	[Parts of Brant, Waterloo, and Wentworth Counties, 8/5/1951] : [Flightline A13340-Photo 10]		National Air Photo Library (Canada)		cartographic	Aerial photographs	8/5/1951	[Publisher unknown]	[Place of publication unknown]	8/5/1951	eng	remote-sensing image	[1:40,000 approximately]	1 remote-sensing image ; 23 x 23 cm.	Stereoscopic coverage. Shows part of Brant County east of Brantford. Part of Waterloo County south of Kitchener, including Cambridge. Part of Wentworth County covering Puslinch, Carlisle, Killbride, Waterdown, Dundas Valley and the western half of the City of Hamilton. On verso: Royal Canadian Air Force, Crown copyright. Source: National Air Photo Library [Parts of Brant, Waterloo and Wentworth Counties] Operation VPH 252/51 Hamilton, May 14, 1951, September 9, 1951 and April 22, 1952.	Ontario, Southen			North America	Canada	Ontario		Brant, Waterloo, Wentworth	Hamilton, Brantford, Kitchener, Cambridge, Burlington	Flamborough, Dundas		latitude 43.278205 ; longitude -80.249634
